# ASY method (with partition functions). 
# All double quantities are log10(x); rates in units of s^-1
#
#  t          dt   2/Rmin Reaction_Rmin       2/Rmax   Reaction_Rmax     dt_FE    dt_EA  trial_dt   interpT   interpRho
-2.8027 -3.8027     inf he4+ti45-->cr49 -0.2524 co54-->fe54+e++nu 24.4466 -3.8441 -3.8027 7.3979e+00 2.0000e+00
-2.7613 -3.7613     inf n+n14-->he4+b11 -0.2524 co54-->fe54+e++nu 24.4466 -3.8027 -3.7613 7.3979e+00 2.0000e+00
-2.6786 -3.6786     inf he4+ti45-->cr49 -0.2524 co54-->fe54+e++nu 24.4466 -3.7199 -3.6786 7.3979e+00 2.0000e+00
-2.6372 -3.6372     inf he4+ti45-->cr49 -0.2524 co54-->fe54+e++nu 24.4466 -3.6786 -3.6372 7.3979e+00 2.0000e+00
-2.5544 -3.5544     inf he4+ti47-->cr51 -0.2524 co54-->fe54+e++nu 24.4466 -3.5958 -3.5544 7.3979e+00 2.0000e+00
-2.5130 -3.5130     inf he4+ti47-->cr51 -0.2524 co54-->fe54+e++nu 24.4466 -3.5544 -3.5130 7.3979e+00 2.0000e+00
-2.4716 -3.4716     inf he4+ti47-->cr51 -0.2524 co54-->fe54+e++nu 24.4466 -3.5130 -3.4716 7.3979e+00 2.0000e+00
-2.3888 -3.3888     inf he4+ti47-->cr51 -0.2524 co54-->fe54+e++nu 24.4466 -3.4302 -3.3888 7.3979e+00 2.0000e+00
-2.3474 -3.3474     inf he4+ti47-->cr51 -0.2524 co54-->fe54+e++nu 24.4466 -3.3888 -3.3474 7.3979e+00 2.0000e+00
-2.2646 -3.2646     inf n+cr50-->p+v50 -0.2524 co54-->fe54+e++nu 24.4466 -3.3060 -3.2646 7.3979e+00 2.0000e+00
-2.2232 -3.2232     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -3.2646 -3.2232 7.3979e+00 2.0000e+00
-2.1404 -3.1404     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -3.1818 -3.1404 7.3979e+00 2.0000e+00
-2.0991 -3.0991     inf n+he4+he4-->be9 -0.2524 co54-->fe54+e++nu 24.4466 -3.1404 -3.0991 7.3979e+00 2.0000e+00
-2.0163 -3.0163     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -3.0577 -3.0163 7.3979e+00 2.0000e+00
-1.9749 -2.9749     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -3.0163 -2.9749 7.3979e+00 2.0000e+00
-1.8921 -2.8921     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.9335 -2.8921 7.3979e+00 2.0000e+00
-1.8507 -2.8507     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.8921 -2.8507 7.3979e+00 2.0000e+00
-1.7679 -2.7679     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.8093 -2.7679 7.3979e+00 2.0000e+00
-1.7265 -2.7265     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.7679 -2.7265 7.3979e+00 2.0000e+00
-1.6437 -2.6437     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.6851 -2.6437 7.3979e+00 2.0000e+00
-1.6023 -2.6023     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.6437 -2.6023 7.3979e+00 2.0000e+00
-1.5196 -2.5196     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.5609 -2.5196 7.3979e+00 2.0000e+00
-1.4782 -2.4782     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.5196 -2.4782 7.3979e+00 2.0000e+00
-1.3954 -2.3954     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.4368 -2.3954 7.3979e+00 2.0000e+00
-1.3540 -2.3540     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.3954 -2.3540 7.3979e+00 2.0000e+00
-1.2712 -2.2712     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.3126 -2.2712 7.3979e+00 2.0000e+00
-1.2298 -2.2298     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.2712 -2.2298 7.3979e+00 2.0000e+00
-1.1470 -2.1470     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.1884 -2.1470 7.3979e+00 2.0000e+00
-1.1056 -2.1056     inf n+s32-->p+p32 -0.2524 co54-->fe54+e++nu 24.4466 -2.1470 -2.1056 7.3979e+00 2.0000e+00
-1.0228 -2.0228     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.0642 -2.0228 7.3979e+00 2.0000e+00
-0.9815 -1.9815     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -2.0228 -1.9815 7.3979e+00 2.0000e+00
-0.8987 -1.8987     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.9401 -1.8987 7.3979e+00 2.0000e+00
-0.8573 -1.8573     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.8987 -1.8573 7.3979e+00 2.0000e+00
-0.7745 -1.7745     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.8159 -1.7745 7.3979e+00 2.0000e+00
-0.7331 -1.7331     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.7745 -1.7331 7.3979e+00 2.0000e+00
-0.6503 -1.6503     inf he4+ti49-->n+cr52 -0.2524 co54-->fe54+e++nu 24.4466 -1.6917 -1.6503 7.3979e+00 2.0000e+00
-0.6089 -1.6089     inf he4+v49-->p+cr52 -0.2524 co54-->fe54+e++nu 24.4466 -1.6503 -1.6089 7.3979e+00 2.0000e+00
-0.5261 -1.5261     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.5675 -1.5261 7.3979e+00 2.0000e+00
-0.4847 -1.4847     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.5261 -1.4847 7.3979e+00 2.0000e+00
-0.4020 -1.4020     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.4433 -1.4020 7.3979e+00 2.0000e+00
-0.3606 -1.3606     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.4020 -1.3606 7.3979e+00 2.0000e+00
-0.2778 -1.2778     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.3192 -1.2778 7.3979e+00 2.0000e+00
-0.2364 -1.2364     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.2778 -1.2364 7.3979e+00 2.0000e+00
-0.1950 -1.1950     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.2364 -1.1950 7.3979e+00 2.0000e+00
-0.1122 -1.1122     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.1536 -1.1122 7.3979e+00 2.0000e+00
-0.0708 -1.0708     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.1122 -1.0708 7.3979e+00 2.0000e+00
 0.0120 -0.9880     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -1.0294 -0.9880 7.3979e+00 2.0000e+00
 0.0534 -0.9466     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.9880 -0.9466 7.3979e+00 2.0000e+00
 0.1362 -0.8638     inf p+ar38-->he4+cl35 -0.2524 co54-->fe54+e++nu 24.4466 -0.9052 -0.8638 7.3979e+00 2.0000e+00
 0.1775 -0.8225     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.8638 -0.8225 7.3979e+00 2.0000e+00
 0.2603 -0.7397     inf p+ar38-->he4+cl35 -0.2524 co54-->fe54+e++nu 24.4466 -0.7811 -0.7397 7.3979e+00 2.0000e+00
 0.3017 -0.6983     inf p+ar38-->he4+cl35 -0.2524 co54-->fe54+e++nu 24.4466 -0.7397 -0.6983 7.3979e+00 2.0000e+00
 0.3845 -0.6155     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.6569 -0.6155 7.3979e+00 2.0000e+00
 0.4259 -0.5741     inf he4+v50-->p+cr53 -0.2524 co54-->fe54+e++nu 24.4466 -0.6155 -0.5741 7.3979e+00 2.0000e+00
 0.5087 -0.4913     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.5327 -0.4913 7.3979e+00 2.0000e+00
 0.5501 -0.4499     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.4913 -0.4499 7.3979e+00 2.0000e+00
 0.6329 -0.3671     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.4085 -0.3671 7.3979e+00 2.0000e+00
 0.6743 -0.3257     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.3671 -0.3257 7.3979e+00 2.0000e+00
 0.7570 -0.2430     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.2844 -0.2430 7.3979e+00 2.0000e+00
 0.7984 -0.2016     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.2430 -0.2016 7.3979e+00 2.0000e+00
 0.8812 -0.1188     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.1602 -0.1188 7.3979e+00 2.0000e+00
 0.9226 -0.0774     inf p+li6-->he3+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.1188 -0.0774 7.3979e+00 2.0000e+00
 1.0054  0.0054     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466 -0.0360  0.0054 7.3979e+00 2.0000e+00
 1.0468  0.0468     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.0054  0.0468 7.3979e+00 2.0000e+00
 1.1296  0.1296     inf p+li6-->he3+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.0882  0.1296 7.3979e+00 2.0000e+00
