Wed Feb 12 12:42:44 2025
*** ADD RG 127 Steps=167 RGeq=39 t=5.8387e-14 logt=-1.3234e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=169 RGeq=40 t=7.0648e-14 logt=-1.3151e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=174 RGeq=41 t=1.1378e-13 logt=-1.2944e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=178 RGeq=42 t=1.6658e-13 logt=-1.2778e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=187 RGeq=43 t=3.9280e-13 logt=-1.2406e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=192 RGeq=44 t=6.3260e-13 logt=-1.2199e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=194 RGeq=45 t=7.6545e-13 logt=-1.2116e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=196 RGeq=46 t=9.2619e-13 logt=-1.2033e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=199 RGeq=47 t=1.2328e-12 logt=-1.1909e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=201 RGeq=48 t=1.4916e-12 logt=-1.1826e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=203 RGeq=49 t=1.8049e-12 logt=-1.1744e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=209 RGeq=50 t=3.1975e-12 logt=-1.1495e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=221 RGeq=51 t=1.0035e-11 logt=-1.0998e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=225 RGeq=52 t=1.4692e-11 logt=-1.0833e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=226 RGeq=53 t=1.6161e-11 logt=-1.0792e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=227 RGeq=54 t=1.7778e-11 logt=-1.0750e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=229 RGeq=55 t=2.1511e-11 logt=-1.0667e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=230 RGeq=56 t=2.3662e-11 logt=-1.0626e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=232 RGeq=57 t=2.8631e-11 logt=-1.0543e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
